;name;address;e-mail;site;telephone;e_mail
0;@Pizza;Unit 33 Grand Central Stephenson Place, Birmingham B2 4BF England;;http://www.atpizza.com/grandcentral;tel:+44 121 274 2836;mailto:grandcentral@atpizza.com?subject=?
1;Grand Central Kitchen Birmingham;7 Stephenson Street Adjacent to Metro Tram stop opposite New Street Station., Birmingham B2 4BL England;;http://grand-central-kitchen.business.site/?m=true;tel:+44 121 633 3883;mailto:sinzamany@yahoo.com?subject=?
2;Tapas Revolution Birmingham;Stephenson Street Ground, Grand Central, Birmingham B2 4XJ England;;http://www.tapasrevolution.com/birmingham/;tel:+44 121 643 6381;mailto:birmingham@tapasrevolution.com?subject=?
3;Adam's;16 Waterloo Street, Birmingham B2 5UG England;;http://www.adamsrestaurant.co.uk;tel:+44 121 643 3745;mailto:info@adamsrestaurant.co.uk?subject=?
4;Himalaya Restaurant;1716 Bristol Road South Longbridge, Birmingham B45 9QD England;;http://www.himalayarest.co.uk/;tel:+44 121 453 4336;mailto:info@himalayarest.co.uk?subject=?
5;Zindabad;Unit 32 Star City Watson Road Unit # 07, Star City Centre, Birmingham B7 5SA England;;http://www.zindabad.uk;tel:+44 121 328 8855;mailto:zindabadstarcity@gmail.com?subject=?
6;Don Diego Edgbaston;8 Chad Square Hawthorne Road, Birmingham B15 3TQ England;;http://www.dondiego.co.uk;tel:+44 121 448 6460;mailto:INFO@DONDIEGO.CO.UK?subject=?
7;Royal Watan Kashmiri Restaurant;602-604 Pershore Road Selly Park, Birmingham B29 7HQ England;;http://Royal-watan.co.uk;tel:+44 121 471 1713;mailto:Info@royal-Watan.co.uk?subject=?
8;Chakana;140 Alcester Road Moseley, Birmingham B13 8HT England;;http://www.chakana-restaurant.co.uk/;tel:+44 121 448 9880;mailto:hola@chakana-restaurant.co.uk?subject=?
9;BA-HA;Churchills Bar, The Mailbox, 171-172 Wharfside St, Birmingham England;;https://www.facebook.com/bahaveganuk/;tel:+44 7394 479665;
10;Aluna;128-130 Wharfside Street The Mailbox, Birmingham B1 1RQ England;;http://www.aluna.uk.com/birmingham.php;tel:+44 121 633 9987;mailto:info@aluna.uk.com?subject=?
11;Harborne Kitchen;175-179 High Street Harborne, Birmingham B17 9QE England;;http://www.harbornekitchen.com;tel:+44 121 439 9150;mailto:bookings@harbornekitchen.com?subject=?
12;Wok Chi Oriental Kitchen;135 High Street Harborne, Birmingham B17 9NP England;;http://www.wokchi.co.uk/;tel:+44 121 427 2820;mailto:info@wokchi.co.uk?subject=?
13;Restaurant at Birmingham College of Food;University College, Summer Row, Birmingham B3 1JB England;;http://restaurant.ucb.ac.uk/;tel:+44 121 604 1010;mailto:reservations@ucb.ac.uk?subject=?
14;Fogo Bar & Kitchen;197A Hagley Road Edgbaston, Birmingham B16 9RD England;;https://www.facebook.com/fogobarandkitchen/;tel:+44 121 688 1177;mailto:info@fogokitchen.com?subject=?
15;Revolution Birmingham;Broad Street Unit 7 Fiveways Leisure Complex, Birmingham B15 1AY England;;http://www.revolution-bars.co.uk/birmingham;tel:+44 121 665 6508;mailto:Birmingham@revolution-bars.co.uk?subject=?
16;Rustic Table;152 High Street Harborne, Birmingham B17 9PN England;;http://www.rustictable.co.uk;tel:+44 121 448 1755;mailto:byrne681@outlook.com?subject=?
17;Restaurant Folium;The Folium 8 Caroline Street, Birmingham B3 1TW England;;http://restaurantfolium.com;tel:+44 121 638 0100;mailto:info@restaurantfolium.com?subject=?
18;Purnell's Restaurant;55 Cornwall Street, Birmingham B3 2DH England;;http://www.purnellsrestaurant.com/;tel:+44 121 212 9799;mailto:info@purnellsrestaurant.com?subject=?
19;Sapore;2250 Coventry Road, Birmingham B26 3JH England;;https://www.saporerestaurant.co.uk/;tel:+44 121 743 8100;mailto:info@saporerestaurant.co.uk?subject=?
20;Del Villaggio;175 Broad Street Next to Cineworld, Birmingham B15 1DT England;;;tel:+44 121 633 3553;mailto:info@del-villaggio.co.uk?subject=?
21;The Old Contemptibles;176 Edmund Street, Birmingham B3 2HB England;;https://www.facebook.com/theoldcs/?rf=463384380359833;tel:+44 121 200 3310;mailto:oldcontemptibles@nicholsonspubs.com?subject=?
22;Rico Libre;Unit 17, Gibb St. The Custard Factory, Birmingham B4 9AA England;;https://www.facebook.com/ricolibreatkanteen/;tel:+44 121 687 8730;mailto:ricolibre@kanteen-life.com?subject=?
23;Alleppey Boat;1492 Stratford Road, Hall Green, Birmingham B28 9ET England;;http://alleppeyboat.co.uk/;tel:+44 121 745 7935;mailto:info@alleppeyboat.co.uk?subject=?
24;Las Iguanas;39-40 Temple Street Somerset House, Birmingham B2 5DP England;;https://www.iguanas.co.uk/restaurants/birminghamtemplest;tel:+44 121 392 2923;mailto:templestreet@iguanas.co.uk?subject=?
